theme, title, catid, link_
"LBSP","Benthic Surveys in Faga'alu, American Samoa since 2012: benthic images collected during belt transect surveys in 2012, 2015, 2020",25371,"https://www.fisheries.noaa.gov/inport/item/25371"
"LBSP","Benthic Surveys in Faga'alu, American Samoa: belt transect surveys of corals in March and August of 2012",25283,"https://www.fisheries.noaa.gov/inport/item/25283"
"LBSP","Benthic Surveys in Faga'alu, American Samoa: benthic cover derived from analysis of benthic images collected during belt transect surveys of coral demography in 2015 and 2020",32707,"https://www.fisheries.noaa.gov/inport/item/32707"
"LBSP","Benthic Surveys in Faga'alu, American Samoa: benthic cover derived from line-point intercept (LPI) surveys in August 2012",25370,"https://www.fisheries.noaa.gov/inport/item/25370"
"LBSP","Benthic Surveys in Faga'alu, American Samoa: comprehensive assessment of coral demography (adult and juvenile corals) from belt transect surveys in 2013, 2015, and 2020",25369,"https://www.fisheries.noaa.gov/inport/item/25369"
"LBSP","Benthic Surveys in Vatia, American Samoa since 2015: benthic images collected during belt transect surveys in 2015 and 2020",31196,"https://www.fisheries.noaa.gov/inport/item/31196"
"LBSP","Benthic Surveys in Vatia, American Samoa: benthic cover derived from analysis of benthic images collected during belt transect surveys of coral demography in 2015 and 2020",31611,"https://www.fisheries.noaa.gov/inport/item/31611"
"LBSP","Benthic Surveys in Vatia, American Samoa: comprehensive assessment of coral demography (adult and juvenile corals) from belt transect surveys in 2015 and 2020",30771,"https://www.fisheries.noaa.gov/inport/item/30771"
"","Benthic cover derived from structure from motion images collected during marine debris surveys at coral reef sites entangled with derelict fishing nets at Pearl and Hermes Atoll in the Northwestern Hawaiian Islands from missions in 2018 and 2021",59172,"https://www.fisheries.noaa.gov/inport/item/59172"
"","Benthic images collected at coral reef sites in Batangas, Philippines in 2012 and 2015",45820,"https://www.fisheries.noaa.gov/inport/item/45820"
"","Benthic images collected at coral reef sites in Timor-Leste from 2012-2014",46160,"https://www.fisheries.noaa.gov/inport/item/46160"
"","Benthic percent cover derived from analysis of benthic images collected at coral reef sites in Batangas, Philippines in 2015",45819,"https://www.fisheries.noaa.gov/inport/item/45819"
"","Benthic percent cover derived from analysis of benthic images collected at coral reef sites in Timor-Leste in 2013 and 2014",46161,"https://www.fisheries.noaa.gov/inport/item/46161"
"LBSP","Benthic surveys along a water quality gradient in Aua, American Samoa: benthic cover derived from analysis of benthic images collected in 2022",67996,"https://www.fisheries.noaa.gov/inport/item/67996"
"LBSP","Benthic surveys along a water quality gradient in Aua, American Samoa: benthic images collected during belt transect surveys in 2022",67994,"https://www.fisheries.noaa.gov/inport/item/67994"
"LBSP","Benthic surveys along a water quality gradient in Aua, American Samoa: comprehensive assessment of coral demography (adult and juvenile corals) from belt transect surveys in 2022",67995,"https://www.fisheries.noaa.gov/inport/item/67995"
"","Benthic, urchin, and fish observation data collected utilizing multiple methodologies for coral reef carbonate budget assessments in 2021 in O'ahu and in 2022 in the Mariana Archipelago",67804,"https://www.fisheries.noaa.gov/inport/item/67804"
"","Calcification Rates of Crustose Coralline Algae (CCA) Derived from Calcification Accretion Units (CAUs) Deployed at Coral Reef Sites in Batangas, Philippines from 2012 to 2015",45816,"https://www.fisheries.noaa.gov/inport/item/45816"
"","Calcification Rates of Crustose Coralline Algae (CCA) Derived from Calcification Accretion Units (CAUs) Deployed at Coral Reef Sites in Timor-Leste from 2012 to 2014",46162,"https://www.fisheries.noaa.gov/inport/item/46162"
"","Coral Bleaching & Recovery Observations using Structure-from-Motion (SfM) Models from Main Hawaiian Islands Fixed Sites Surveyed from 2019 to 2021",65764,"https://www.fisheries.noaa.gov/inport/item/65764"
"","Coral Reef Resilience and Social Vulnerability to Climate Change in the U.S.-affiliated Pacific Islands",59258,"https://www.fisheries.noaa.gov/inport/item/59258"
"LBSP","Coral reef ecosystem marine protected area monitoring in Fagamalo, American Samoa: benthic images collected during belt transect surveys in 2015",31223,"https://www.fisheries.noaa.gov/inport/item/31223"
"LBSP","Coral reef ecosystem marine protected area monitoring in Fagamalo, American Samoa: benthic percent cover derived from analysis of benthic images collected during belt transect surveys of coral demography in 2015",31621,"https://www.fisheries.noaa.gov/inport/item/31621"
"LBSP","Coral reef ecosystem marine protected area monitoring in Fagamalo, American Samoa: comprehensive assessment of coral demography (adult and juvenile corals) from belt transect surveys in 2015",30775,"https://www.fisheries.noaa.gov/inport/item/30775"
"","Coral reef fish biomass and benthic cover data from Timor-Leste in June 2013",32998,"https://www.fisheries.noaa.gov/inport/item/32998"
"","Cryptobiota metabarcoding using Autonomous Reef Monitoring Structure (ARMS) Deployed at Coral Reef Sites across American Samoa from 2012 to 2015",64267,"https://www.fisheries.noaa.gov/inport/item/64267"
"","Cryptobiota metabarcoding using Autonomous Reef Monitoring Structure (ARMS) Deployed at Coral Reef Sites across Hawaiian Archipelago from 2010 to 2016",64268,"https://www.fisheries.noaa.gov/inport/item/64268"
"","Cryptobiota metabarcoding using Autonomous Reef Monitoring Structure (ARMS) Deployed at Coral Reef Sites across Marianas Archipelago from 2011 to 2014",64269,"https://www.fisheries.noaa.gov/inport/item/64269"
"","Cryptobiota metabarcoding using Autonomous Reef Monitoring Structure (ARMS) Deployed at Coral Reef Sites across PRIA from 2011 to 2015",64270,"https://www.fisheries.noaa.gov/inport/item/64270"
"","Cryptobiota metabarcoding using Autonomous Reef Monitoring Structure (ARMS) Deployed at Coral Reef Sites across Timor Leste from 2012 to 2014",64540,"https://www.fisheries.noaa.gov/inport/item/64540"
"","Cryptobiota metabarcoding using Autonomous Reef Monitoring Structure (ARMS) Deployed in Batangas, Philippines from 2012 to 2015",64332,"https://www.fisheries.noaa.gov/inport/item/64332"
"","Database of Grazing Metrics for Herbivorous Fishes of the Indo-Pacific",65072,"https://www.fisheries.noaa.gov/inport/item/65072"
"","Depth Contours for select locations across the U.S. Pacific Islands",29717,"https://www.fisheries.noaa.gov/inport/item/29717"
"","Depth soundings from a single beam echo sounder collected around the nearshore areas of Timor-Leste in 2012 and 2013",25307,"https://www.fisheries.noaa.gov/inport/item/25307"
"","Depth soundings from a single beam echo sounder collected around the nearshore areas of the U.S. Pacific Islands since March 2012",47152,"https://www.fisheries.noaa.gov/inport/item/47152"
"","Derived bathymetry from IKONOS satellite imagery of nearshore benthic habitats",25280,"https://www.fisheries.noaa.gov/inport/item/25280"
"LBSP","Determining Watershed Management Efficacy in West Maui: Belt transect surveys of coral demography (adult and juvenile corals) from 2014 to 2015",25326,"https://www.fisheries.noaa.gov/inport/item/25326"
"LBSP","Determining Watershed Management Efficacy in West Maui: line-point-intercept and photo quadrat surveys of benthic communities for benthic cover from 2014 to 2015",27316,"https://www.fisheries.noaa.gov/inport/item/27316"
"","Developing a semi-automated CoralNet Bleaching Classifier: annotations and imagery from survey sites across the Hawaiian Archipelago between 2014 and 2019",67962,"https://www.fisheries.noaa.gov/inport/item/67962"
"","Diel seawater carbonate chemistry observations from a suite of instrumentation deployed at coral reef sites in Batangas, Philippines from May 21-31, 2015",45954,"https://www.fisheries.noaa.gov/inport/item/45954"
"","Dominant Benthic Structure and Biological Cover Habitat Maps for West Maui and West Hawaii",32811,"https://www.fisheries.noaa.gov/inport/item/32811"
"","EM300 Multibeam Sonar Data collected from January 26 to April 22 from NOAA Ship Hi'ialakai cruise HA-15-01 to the Pacific Remote Island Areas and American Samoa in 2015",47822,"https://www.fisheries.noaa.gov/inport/item/47822"
"","EM300 Multibeam Sonar Data collected from May 7 to May 22 from NOAA Ship Hi'ialakai cruise HA-17-01 to the Commonwealth of Northern Mariana Islands (CNMI) and Guam in 2017",47803,"https://www.fisheries.noaa.gov/inport/item/47803"
"","Eco-spatial data layers of coral reef ecosystem drivers in American Samoa",65145,"https://www.fisheries.noaa.gov/inport/item/65145"
"LBSP","Effects of water quality on non-coral communities: surveys of macroinvertebrates, benthic microalgae, and benthic foraminifera at sites along a water quality gradient in Aua, American Samoa in 2022",68092,"https://www.fisheries.noaa.gov/inport/item/68092"
"","Environmental Monitoring of Coral Bleaching and Disease in the Hawaiian Islands: assessment of coral reef communities in Hawaii, Maui, and Oahu of the Main Hawaiian Islands from March 8, 2010 to November 8, 2011 using the Line-point Intercept (LPI) method",25349,"https://www.fisheries.noaa.gov/inport/item/25349"
"","Environmental Monitoring of Coral Bleaching and Disease in the Hawaiian Islands; Belt Transect Surveys and Disease Assessments of Coral Populations in Hawaii, Maui, and Oahu from March 8, 2010 to November 8, 2011",25285,"https://www.fisheries.noaa.gov/inport/item/25285"
"","Evaluating management strategies to optimize coral reef ecosystem services: Ecosystem Model Data for Puako, Hawaii",36315,"https://www.fisheries.noaa.gov/inport/item/36315"
"","Fish, Benthic and Urchin Survey Data from Kahekili Herbivore Fisheries Management Area (HFMA), Maui since 2008",30951,"https://www.fisheries.noaa.gov/inport/item/30951"
"","Gridded multibeam bathymetry of Baker Island, Pacific Remote Island Areas, Central Pacific",47744,"https://www.fisheries.noaa.gov/inport/item/47744"
"","Gridded multibeam bathymetry of Guam Island, Guam U.S. Territory",47577,"https://www.fisheries.noaa.gov/inport/item/47577"
"","Gridded multibeam bathymetry of Howland Island, Pacific Remote Island Areas, Central Pacific",47761,"https://www.fisheries.noaa.gov/inport/item/47761"
"","Guam Atlantis Ecosystem Model Output Data for Coral Reef Ecosystems",25655,"https://www.fisheries.noaa.gov/inport/item/25655"
"","Guam Long-term Coral Reef Monitoring Program Benthic Cover Derived from Analysis of Benthic Images since 2010",47784,"https://www.fisheries.noaa.gov/inport/item/47784"
"","Guam Long-term Coral Reef Monitoring Program Benthic Images since 2010",47788,"https://www.fisheries.noaa.gov/inport/item/47788"
"","Guam Long-term Coral Reef Monitoring Program Coral Colony Size and Condition Surveys since 2010",47781,"https://www.fisheries.noaa.gov/inport/item/47781"
"","Guam Long-term Coral Reef Monitoring Program Macroinvertebrate Belt Transects since 2010",47782,"https://www.fisheries.noaa.gov/inport/item/47782"
"","Guam Long-term Coral Reef Monitoring Program Reef Fish Surveys since 2010",47783,"https://www.fisheries.noaa.gov/inport/item/47783"
"","HCBC 2015 Hawaii Bleaching Analysis Ready Clustered Data",64771,"https://www.fisheries.noaa.gov/inport/item/64771"
"","HCBC 2019 Hawaii Bleaching Analysis Ready Clustered Data",64324,"https://www.fisheries.noaa.gov/inport/item/64324"
"","Hard and Soft Bottom Seafloor Substrate Map Derived from an Unsupervised Classification of Gridded Bathymetry Derivatives for the NOAA Habitat Blueprint West Hawaii Focus Area",12618,"https://www.fisheries.noaa.gov/inport/item/12618"
"","Hard and Soft Bottom Seafloor Substrate Maps Derived from an Unsupervised Classification of Gridded Backscatter at Select U.S. Locations in the Pacific",35021,"https://www.fisheries.noaa.gov/inport/item/35021"
"","Hawaii Coral Bleaching Collaborative: surveys for percent and severity of bleached coral cover across the Hawaiian Archipelago from August 20 to December 7, 2019",59191,"https://www.fisheries.noaa.gov/inport/item/59191"
"","Hawaii Coral Bleaching Collaborative: surveys for percent of bleached coral cover across the Hawaiian Archipelago from October 02 to November 18, 2015",64755,"https://www.fisheries.noaa.gov/inport/item/64755"
"","Identifying coral reef resilience potential in Tutuila, American Samoa based on NOAA coral reef monitoring data from 2010 to 2016",50521,"https://www.fisheries.noaa.gov/inport/item/50521"
"","Linkages between reef fish demographics and benthic habitat characteristics in Tutuila, American Samoa and Main Hawaiian Islands",26865,"https://www.fisheries.noaa.gov/inport/item/26865"
"","Management-Strategy Evaluation of the Main Hawaiian Islands with the Atlantis Ecosystem Model: hind-cast simulations and ecosystem forecasting under climate scenarios",55245,"https://www.fisheries.noaa.gov/inport/item/55245"
"","Monk Seal Ecosystem Model Data: A Comparison of Ecosystem Structure and Energy Flows of Monk Seal Populations from Laysan Island and French Frigate Shoals in the Northwestern Hawaiian Islands",35796,"https://www.fisheries.noaa.gov/inport/item/35796"
"","Multibeam Backscatter Data for Selected U.S. Locations in the Pacific",12604,"https://www.fisheries.noaa.gov/inport/item/12604"
"","NCRMP and related PIFSC surveys: Statistical Summary of Key Environmental Variables at Coral Reef Survey Sites across the Pacific Ocean from 2000 to 2020",65209,"https://www.fisheries.noaa.gov/inport/item/65209"
"NCRMP","National Coral Reef Monitoring Program: Assessing and Monitoring Cryptic Reef Diversity of Colonizing Marine Invertebrates using Autonomous Reef Monitoring Structure (ARMS) Deployed at Coral Reef Sites across American Samoa from 2012 to 2018",37505,"https://www.fisheries.noaa.gov/inport/item/37505"
"NCRMP","National Coral Reef Monitoring Program: Assessing and Monitoring Cryptic Reef Diversity of Colonizing Marine Invertebrates using Autonomous Reef Monitoring Structure (ARMS) Deployed at Coral Reef Sites across the Hawaiian Archipelago from 2010 to 2016",37506,"https://www.fisheries.noaa.gov/inport/item/37506"
"NCRMP","National Coral Reef Monitoring Program: Assessing and Monitoring Cryptic Reef Diversity of Colonizing Marine Invertebrates using Autonomous Reef Monitoring Structures (ARMS) Deployed at Coral Reef Sites across the Mariana Archipelago from 2011 to 2017",37507,"https://www.fisheries.noaa.gov/inport/item/37507"
"NCRMP","National Coral Reef Monitoring Program: Assessing and Monitoring Cryptic Reef Diversity of Colonizing Marine Invertebrates using Autonomous Reef Monitoring Structures (ARMS) Deployed at Coral Reef Sites across the Pacific Remote Island Areas from 2011 to 2018",22465,"https://www.fisheries.noaa.gov/inport/item/22465"
"NCRMP","National Coral Reef Monitoring Program: Benthic Complexity and Urchin Abundance at Climate Stations in American Samoa from 2015 to 2018",36099,"https://www.fisheries.noaa.gov/inport/item/36099"
"NCRMP","National Coral Reef Monitoring Program: Benthic Complexity and Urchin Abundance at Climate Stations in the Pacific Remote Island Areas from 2014 to 2018",36100,"https://www.fisheries.noaa.gov/inport/item/36100"
"NCRMP","National Coral Reef Monitoring Program: Benthic Complexity and Urchin Abundance at Climate Stations of the Hawaiian Archipelago since 2013",36098,"https://www.fisheries.noaa.gov/inport/item/36098"
"NCRMP","National Coral Reef Monitoring Program: Benthic Complexity and Urchin Abundance at Climate Stations of the Mariana Archipelago since 2014",25251,"https://www.fisheries.noaa.gov/inport/item/25251"
"NCRMP","National Coral Reef Monitoring Program: Benthic Cover Derived from Analysis of Benthic Images Collected during Stratified Random Surveys (StRS) across the Hawaiian Archipelago from 2013 to 2019",36155,"https://www.fisheries.noaa.gov/inport/item/36155"
"NCRMP","National Coral Reef Monitoring Program: Benthic Cover Derived from Analysis of Benthic Images Collected during Stratified Random Surveys (StRS) across the Mariana Archipelago since 2014",36156,"https://www.fisheries.noaa.gov/inport/item/36156"
"NCRMP","National Coral Reef Monitoring Program: Benthic Cover Derived from Analysis of Benthic Images Collected for Climate Stations across the Hawaiian Archipelago since 2013",36146,"https://www.fisheries.noaa.gov/inport/item/36146"
"NCRMP","National Coral Reef Monitoring Program: Benthic Cover from Annotated Benthic Images Collected During Photoquadrat Surveys at Climate Stations across the Mariana Archipelago since 2014",36147,"https://www.fisheries.noaa.gov/inport/item/36147"
"NCRMP","National Coral Reef Monitoring Program: Benthic Images Collected During Photoquadrat Surveys at Climate Stations across the Mariana Archipelago since 2014",36144,"https://www.fisheries.noaa.gov/inport/item/36144"
"NCRMP","National Coral Reef Monitoring Program: Benthic Images Collected from Climate Stations across the Hawaiian Archipelago since 2013",36143,"https://www.fisheries.noaa.gov/inport/item/36143"
"NCRMP","National Coral Reef Monitoring Program: Benthic Images Collected from Stratified Random Sites (StRS) across the Hawaiian Archipelago from 2013 to 2019",36152,"https://www.fisheries.noaa.gov/inport/item/36152"
"NCRMP","National Coral Reef Monitoring Program: Benthic Images Collected from Stratified Random Sites (StRS) across the Mariana Archipelago since 2014",36153,"https://www.fisheries.noaa.gov/inport/item/36153"
"NCRMP","National Coral Reef Monitoring Program: Calcification Rates of Crustose Coralline Algae Derived from Calcification Accretion Units (CAUs) Deployed across American Samoa from 2010 to 2018",36070,"https://www.fisheries.noaa.gov/inport/item/36070"
"NCRMP","National Coral Reef Monitoring Program: Calcification Rates of Crustose Coralline Algae Derived from Calcification Accretion Units (CAUs) Deployed across the Hawaiian Archipelago from 2010 to 2019",36071,"https://www.fisheries.noaa.gov/inport/item/36071"
"NCRMP","National Coral Reef Monitoring Program: Calcification Rates of Crustose Coralline Algae Derived from Calcification Accretion Units (CAUs) Deployed across the Marianas Archipelago from 2011 to 2022",36072,"https://www.fisheries.noaa.gov/inport/item/36072"
"NCRMP","National Coral Reef Monitoring Program: Calcification Rates of Crustose Coralline Algae Derived from Calcification Accretion Units (CAUs) Deployed across the Pacific Remote Island Areas from 2010 to 2018",36069,"https://www.fisheries.noaa.gov/inport/item/36069"
"NCRMP","National Coral Reef Monitoring Program: Calcification Rates of Crustose Coralline Algae Derived from Calcification Accretion Units (CAUs) Deployed at Brewer's Bay in St. Thomas from 2014 to 2017",53223,"https://www.fisheries.noaa.gov/inport/item/53223"
"NCRMP","National Coral Reef Monitoring Program: Calcification Rates of Crustose Coralline Algae Derived from Calcification Accretion Units (CAUs) Deployed at Cheeca Rocks in the Florida Keys from 2014 to 2017",53204,"https://www.fisheries.noaa.gov/inport/item/53204"
"NCRMP","National Coral Reef Monitoring Program: Calcification Rates of Crustose Coralline Algae Derived from Calcification Accretion Units (CAUs) Deployed at Enrique Reef in Puerto Rico from 2015 to 2018",67512,"https://www.fisheries.noaa.gov/inport/item/67512"
"NCRMP","National Coral Reef Monitoring Program: Calcification Rates of Crustose Coralline Algae Derived from Calcification Accretion Units (CAUs) Deployed at St. Croix from 2014 to 2019",67513,"https://www.fisheries.noaa.gov/inport/item/67513"
"NCRMP","National Coral Reef Monitoring Program: Calcification Rates of Crustose Coralline Algae Derived from Calcification Accretion Units (CAUs) Deployed at the Dry Tortugas from 2015 to 2018",67511,"https://www.fisheries.noaa.gov/inport/item/67511"
"NCRMP","National Coral Reef Monitoring Program: Calcification Rates of Crustose Coralline Algae Derived from Calcification Accretion Units (CAUs) Deployed at the Flower Garden Banks from 2015 to 2019",67510,"https://www.fisheries.noaa.gov/inport/item/67510"
"NCRMP","National Coral Reef Monitoring Program: Diel seawater carbonate chemistry observations from a suite of instrumentation deployed at coral reef sites across the Hawaiian Archipelago since 2016",54894,"https://www.fisheries.noaa.gov/inport/item/54894"
"NCRMP","National Coral Reef Monitoring Program: Diel seawater carbonate chemistry observations from a suite of instrumentation deployed at coral reef sites at Tutuila Island, American Samoa in 2015 and 2018",54928,"https://www.fisheries.noaa.gov/inport/item/54928"
"NCRMP","National Coral Reef Monitoring Program: Diel seawater carbonate chemistry observations from a suite of instrumentation deployed at coral reef sites in the Mariana Archipelago in 2017",54927,"https://www.fisheries.noaa.gov/inport/item/54927"
"NCRMP","National Coral Reef Monitoring Program: Diel seawater carbonate chemistry observations from a suite of instrumentation deployed at coral reef sites in the Pacific Remote Islands Marine National Monument since 2015",54926,"https://www.fisheries.noaa.gov/inport/item/54926"
"NCRMP","National Coral Reef Monitoring Program: Methodological Case Study for 'Downscaling Ecological Trends from the Spatially Randomized Datasets' in the Main Hawaiian Islands, 2005-2016",59928,"https://www.fisheries.noaa.gov/inport/item/59928"
"NCRMP","National Coral Reef Monitoring Program: Shallow Water Conductivity-Temperature-Depth (CTD) Profiles for select coral reef locations across the Hawaiian Archipelago from 2013 to 2021",36818,"https://www.fisheries.noaa.gov/inport/item/36818"
"NCRMP","National Coral Reef Monitoring Program: Shallow Water Conductivity-Temperature-Depth (CTD) Profiles for select locations across American Samoa in 2015 and 2018",36761,"https://www.fisheries.noaa.gov/inport/item/36761"
"NCRMP","National Coral Reef Monitoring Program: Shallow Water Conductivity-Temperature-Depth (CTD) Profiles for select locations across the Mariana Archipelago from 2014 to 2022",36820,"https://www.fisheries.noaa.gov/inport/item/36820"
"NCRMP","National Coral Reef Monitoring Program: Shallow Water Conductivity-Temperature-Depth (CTD) Profiles for select locations across the Pacific Remote Island Areas from 2014 to 2018",21444,"https://www.fisheries.noaa.gov/inport/item/21444"
"NCRMP","National Coral Reef Monitoring Program: Stratified Random Surveys (StRS) of Coral Demography (Adult and Juvenile Corals) across the Hawaiian Archipelago since 2013",36164,"https://www.fisheries.noaa.gov/inport/item/36164"
"NCRMP","National Coral Reef Monitoring Program: Stratified Random Surveys (StRS) of Coral Demography (Adult and Juvenile Corals) across the Mariana Archipelago since 2014",36165,"https://www.fisheries.noaa.gov/inport/item/36165"
"NCRMP","National Coral Reef Monitoring Program: Stratified Random Surveys (StRS) of Coral Demography (Adult and Juvenile Corals) across the Pacific Remote Island Areas from 2014 to 2018",36166,"https://www.fisheries.noaa.gov/inport/item/36166"
"NCRMP","National Coral Reef Monitoring Program: Stratified Random Surveys (StRS) of Reef Fish, including Benthic Estimate Data of American Samoa since 2015",34520,"https://www.fisheries.noaa.gov/inport/item/34520"
"NCRMP","National Coral Reef Monitoring Program: Stratified Random Surveys (StRS) of Reef Fish, including Benthic Estimate Data of the Hawaiian Archipelago since 2013",24447,"https://www.fisheries.noaa.gov/inport/item/24447"
"NCRMP","National Coral Reef Monitoring Program: Stratified Random Surveys (StRS) of Reef Fish, including Benthic Estimate Data of the Mariana Archipelago since 2014",34518,"https://www.fisheries.noaa.gov/inport/item/34518"
"NCRMP","National Coral Reef Monitoring Program: Stratified Random Surveys (StRS) of Reef Fish, including Benthic Estimate Data of the Pacific Remote Island Areas since 2014",34519,"https://www.fisheries.noaa.gov/inport/item/34519"
"NCRMP","National Coral Reef Monitoring Program: Towed-diver Surveys of Benthic Habitat, Key Benthic Species, and Marine Debris Sightings of American Samoa in 2015",35768,"https://www.fisheries.noaa.gov/inport/item/35768"
"NCRMP","National Coral Reef Monitoring Program: Towed-diver Surveys of Benthic Habitat, Key Benthic Species, and Marine Debris Sightings of the Hawaiian Archipelago in 2016",35767,"https://www.fisheries.noaa.gov/inport/item/35767"
"NCRMP","National Coral Reef Monitoring Program: Towed-diver Surveys of Benthic Habitat, Key Benthic Species, and Marine Debris Sightings of the Marianas since 2014",35769,"https://www.fisheries.noaa.gov/inport/item/35769"
"NCRMP","National Coral Reef Monitoring Program: Towed-diver Surveys of Benthic Habitat, Key Benthic Species, and Marine Debris Sightings of the Pacific Remote Island Areas since 2014",5567,"https://www.fisheries.noaa.gov/inport/item/5567"
"NCRMP","National Coral Reef Monitoring Program: Towed-diver Surveys of Large-bodied Fishes of American Samoa in 2015",35761,"https://www.fisheries.noaa.gov/inport/item/35761"
"NCRMP","National Coral Reef Monitoring Program: Towed-diver Surveys of Large-bodied Fishes of the Hawaiian Archipelago in 2016",35760,"https://www.fisheries.noaa.gov/inport/item/35760"
"NCRMP","National Coral Reef Monitoring Program: Towed-diver Surveys of Large-bodied Fishes of the Marianas since 2014",35762,"https://www.fisheries.noaa.gov/inport/item/35762"
"NCRMP","National Coral Reef Monitoring Program: Towed-diver Surveys of Large-bodied Fishes of the Pacific Remote Island Areas since 2014",5568,"https://www.fisheries.noaa.gov/inport/item/5568"
"NCRMP","National Coral Reef Monitoring Program: Water Temperature Data from Subsurface Temperature Recorders (STRs) deployed at coral reef sites in American Samoa from 2012 to 2018",37069,"https://www.fisheries.noaa.gov/inport/item/37069"
"NCRMP","National Coral Reef Monitoring Program: Water Temperature Data from Subsurface Temperature Recorders (STRs) deployed at coral reef sites in the Hawaiian Archipelago from 2005 to 2019",37070,"https://www.fisheries.noaa.gov/inport/item/37070"
"NCRMP","National Coral Reef Monitoring Program: Water Temperature Data from Subsurface Temperature Recorders (STRs) deployed at coral reef sites in the Mariana Archipelago from 2011 to 2022",37071,"https://www.fisheries.noaa.gov/inport/item/37071"
"NCRMP","National Coral Reef Monitoring Program: Water Temperature Data from Subsurface Temperature Recorders (STRs) deployed at coral reef sites in the Pacific Remote Island Areas from 2011 to 2018",21443,"https://www.fisheries.noaa.gov/inport/item/21443"
"","Nearshore Benthic Habitats of Timor-Leste Derived from WorldView-2 Satellite Imagery",29128,"https://www.fisheries.noaa.gov/inport/item/29128"
"LBSP","Nutrient and water chemistry data of Aua Reef in American Samoa from samples collected along a water quality gradient between 2022-09-13 to 2022-09-23",68095,"https://www.fisheries.noaa.gov/inport/item/68095"
"","Oceanographic data, including conductivity, temperature, depth, dissolved oxygen, fluorescence, and turbidity, collected during towed-diver surveys conducted from November 3-18, 2015 in the Main Hawaiian Islands to assess damage from the 2015 mass coral bleaching event",32586,"https://www.fisheries.noaa.gov/inport/item/32586"
"RAMP","Pacific Reef Assessment and Monitoring Program: Assessing and Monitoring Cryptic Reef Diversity of Colonizing Marine Invertebrates using Autonomous Reef Monitoring Structures (ARMS) Deployed at Coral Reef Sites across the U.S. Pacific from 2008 to 2012",36038,"https://www.fisheries.noaa.gov/inport/item/36038"
"RAMP","Pacific Reef Assessment and Monitoring Program: Belt Transect Surveys for Demographics and Condition of Corals at U.S. Pacific Reefs from 2007 to 2012",25260,"https://www.fisheries.noaa.gov/inport/item/25260"
"RAMP","Pacific Reef Assessment and Monitoring Program: Belt Transect Surveys of Corals at U.S. Pacific Reefs from 2002 to 2007 (uneven size-class bins)",10512,"https://www.fisheries.noaa.gov/inport/item/10512"
"RAMP","Pacific Reef Assessment and Monitoring Program: Belt Transect Surveys of Corals at U.S. Pacific Reefs in 2008 (even size-class bins)",25290,"https://www.fisheries.noaa.gov/inport/item/25290"
